"SKU","STORE","COST","RETAIL"
970860,1707,10.59,6.99
5006016,107,20.75,37.35
5258283,203,12.17,13.22
1448152,802,40.50,44.50
7458430,204,15.33,27.37
5221394,202,16.21,17.61
8899528,302,7.00,4.75
9248434,107,10.75,6.25
3427699,303,9.00,3.64
6091110,1104,10.82,13.26
516730,407,25.00,17.25
2838209,4209,13.00,14.00
2173799,107,39.75,19.88
606740,302,32.90,35.76
4079099,402,9.00,3.99
924324,203,27.28,29.65
5029771,504,5.00,10.00
9084646,3109,39.00,40.00
1903769,209,48.75,24.37
887904,603,36.00,39.50
9568567,802,4.50,7.49
9068414,107,44.75,44.75
1458817,2409,5.00,7.49
6284813,202,31.50,25.68
4740022,1407,11.90,36.00
6585,203,19.42,21.11
5069209,107,9.00,11.00
6397091,307,17.94,11.00
5088459,402,26.50,59.00
1163032,603,6.31,6.85
3973999,309,14.00,9.75
2696689,403,1.58,0.93
2556107,1607,108.00,70.75
3153713,107,22.08,14.00
6039600,209,45.08,49.00
6829971,403,34.20,58.50
554761,107,14.37,10.56
2029261,2702,34.37,39.99
6689654,209,17.18,18.67
4559064,2602,56.42,61.33
4353289,203,9.31,20.00
3728786,7107,17.00,42.00
1156996,4102,18.00,7.65
8500723,1602,3.45,1.75
5681171,209,28.66,31.16
4688043,407,6.00,4.40
3849180,309,13.65,24.37
1037744,909,33.57,36.49
5598808,709,13.50,22.50
208404,102,41.05,44.62
2467708,202,16.50,21.00
947734,202,29.75,29.75
3108443,1509,39.00,44.50
416259,404,35.41,38.49
2269580,5502,38.00,85.00
3227226,107,3.84,5.00
1920674,7103,27.60,30.00
4647667,4407,11.75,19.99
9436305,204,27.76,14.17
1228898,107,24.96,33.09
2147779,1403,15.75,9.50
1780092,209,5.40,39.50
1637899,107,16.76,18.22
6287097,303,12.50,8.50
83116,107,7.85,6.25
6267378,107,5.75,6.46
3236484,507,5.75,3.24
7936050,304,27.00,16.25
3569158,1807,22.50,75.00
829624,409,7.60,19.00
383530,709,34.75,17.37
218131,203,9.00,6.25
4631639,2707,9.25,8.00
1301473,202,20.50,18.75
8939843,6304,90.00,199.00
9786822,107,4.20,2.46
9317053,403,42.97,14.99
9127041,302,18.70,19.99
6898121,509,11.20,21.00
696689,107,3.40,2.02
328533,7007,32.20,35.00
8902485,409,5.53,6.01
5047818,307,12.50,8.50
4788188,107,21.94,23.85
6781418,1602,11.49,12.48
4410305,603,42.50,21.25
8456595,1403,61.78,67.16
2142885,202,14.75,14.75
7767837,3804,22.86,14.78
3734761,107,20.95,22.77
5468157,202,10.25,6.00
8681824,1403,15.00,19.00
9706743,707,35.72,19.50
2399436,1904,49.00,9.99
9730418,1607,35.00,69.99
267031,609,11.90,5.99
6666122,107,5.50,3.07
7657639,4209,83.50,99.50
318541,203,14.73,16.02
9330471,103,19.90,11.25
9822508,304,14.10,7.99
